f_hz,quant_mean_error,quant_mse,quant_max_abs_error,kaiser_mse,kaiser_max_abs_error,kaiser_amp_error,fourier_mse,fourier_max_abs_error,fourier_amp_error,fixed_mse,fixed_max_abs_error,fixed_amp_error,fixed_minus_kaiser_mse,fixed_minus_kaiser_amp_error
1.9000000000e+01,-3.0517578118e-07,6.9100558954e-11,3.0517578125e-05,1.9725345486e-13,8.4824531821e-07,-4.2992545061e-05,1.1346536052e-26,5.7337468107e-13,-9.9920072216e-16,8.4845781042e-11,3.0517578125e-05,-1.1986321440e-04,8.4648527588e-11,-7.6870669344e-05
2.0000000000e+01,8.5097908402e-16,9.4414934083e-11,1.3819973311e-05,2.1090169735e-13,8.0672923752e-07,-4.8794490795e-05,4.9580040489e-26,7.8720496354e-13,-2.9976021665e-15,2.1616374687e-10,2.3805970537e-05,-7.1270322443e-05,2.1595284517e-10,-2.2475831649e-05
2.1000000000e+01,-3.0517578267e-07,6.9100558955e-11,3.0517578125e-05,2.4163119621e-12,2.9907015789e-06,-5.3231508325e-05,1.5850120431e-26,5.7001625642e-13,6.8833827527e-15,9.8539644839e-11,3.4570223258e-05,-6.2872524250e-05,9.6123332876e-11,-9.6410159252e-06
2.2000000000e+01,1.6065768778e-16,6.5512347070e-11,1.3819973344e-05,2.7729350021e-13,8.4657149946e-07,-6.1455343555e-05,1.9538498173e-26,6.5854266484e-13,-8.8817841970e-16,9.8072239606e-11,3.0517578125e-05,-8.0968687098e-05,9.7794946106e-11,-1.9513343543e-05
2.3000000000e+01,-3.0517578170e-07,6.9100558962e-11,3.0517578125e-05,2.3408336863e-13,8.4824531754e-07,-6.8058033436e-05,2.2743508046e-26,6.2355676178e-13,8.8817841970e-16,9.6208117652e-11,3.0517578125e-05,-1.0761872693e-04,9.5974034283e-11,-3.9560693492e-05
2.4000000000e+01,-4.1917282769e-16,6.5512347043e-11,1.3819973274e-05,2.2719297873e-12,2.8887152818e-06,-7.4672944321e-05,1.1895197772e-26,6.4062644078e-13,1.7763568394e-15,8.0888016242e-11,2.1525341060e-05,-9.2966932016e-05,7.8616086454e-11,-1.8293987695e-05
2.5000000000e+01,-7.6293945304e-06,2.3283064365e-10,3.0517578125e-05,6.4019853847e-13,9.5949858336e-07,-8.5118225472e-05,1.5489118484e-26,5.3113069498e-13,9.5479180118e-15,2.2148276901e-10,3.0517578125e-05,-1.0249162587e-04,2.2084257047e-10,-1.7373400396e-05
2.6000000000e+01,-1.5124064517e-15,6.5512347096e-11,1.3819973392e-05,7.2889863052e-13,1.4810974751e-06,-9.3030903730e-05,3.7417966178e-26,6.7006937131e-13,-8.2156503822e-15,1.0276394716e-10,3.0517578125e-05,-1.0881583474e-04,1.0203504853e-10,-1.5784931012e-05
2.7000000000e+01,-3.0517578169e-07,6.9100558958e-11,3.0517578125e-05,1.6219138761e-12,2.4010121610e-06,-1.0271540227e-04,1.7270322940e-26,6.6817384958e-13,-4.8849813084e-15,9.0837295967e-11,3.0517578125e-05,-1.5478916266e-04,8.9215382091e-11,-5.2073760390e-05
2.8000000000e+01,3.2476314186e-16,6.5512347045e-11,1.3819973344e-05,1.0035918329e-12,1.8124466641e-06,-1.1578765416e-04,3.6287593562e-26,7.3310801874e-13,5.1070259133e-15,9.9557112547e-11,2.5087302497e-05,-1.6198091656e-04,9.8553520714e-11,-4.6193262401e-05
2.9000000000e+01,-3.0517578102e-07,6.9100558962e-11,3.0517578125e-05,1.8288489018e-12,2.5659650821e-06,-1.2594862244e-04,6.8344749817e-26,8.1518125583e-13,5.3290705182e-15,9.6237544387e-11,3.0517578125e-05,-2.4343270494e-04,9.4408695485e-11,-1.1748408250e-04
3.0000000000e+01,-1.7951105283e-15,9.4414934064e-11,1.3819973463e-05,7.8305304587e-13,1.5527850248e-06,-1.3989896702e-04,1.2424245819e-26,6.6774363816e-13,-1.9984014443e-15,9.9993521874e-11,3.0517578125e-05,-4.1646160969e-04,9.9210468828e-11,-2.7656264267e-04
3.1000000000e+01,-3.0517578110e-07,6.9100558972e-11,3.0517578125e-05,1.1093272393e-12,1.9282051300e-06,-1.5645604594e-04,1.2609258120e-26,4.9348025666e-13,1.3322676296e-15,1.0182221395e-10,3.0517578125e-05,-2.9715268584e-04,1.0071288671e-10,-1.4069663989e-04
3.2000000000e+01,-4.5516524645e-16,6.5512347050e-11,1.3819973347e-05,3.4309801962e-12,3.5995996180e-06,-1.7047298792e-04,1.2258409437e-26,5.5952464884e-13,2.4424906542e-15,1.0978509339e-10,2.3206571468e-05,-2.6935077610e-04,1.0635411319e-10,-9.8877788180e-05
3.3000000000e+01,-3.0517578174e-07,6.9100558991e-11,3.0517578125e-05,2.2465838584e-13,8.4824531799e-07,-1.9052284441e-04,4.0728463727e-26,7.7254869169e-13,1.1102230246e-15,8.7600160861e-11,3.0517578125e-05,-2.0291795065e-04,8.7375502476e-11,-1.2395106245e-05
3.4000000000e+01,9.3397047095e-16,6.5512347059e-11,1.3819973399e-05,8.9878683177e-13,1.6958924999e-06,-2.1238294654e-04,8.6169371178e-27,4.3556824814e-13,7.3274719625e-15,1.0051982463e-10,3.0517578125e-05,-2.6863674185e-04,9.9621037800e-11,-5.6253795315e-05
3.5000000000e+01,-1.5258789041e-06,1.0017909710e-10,3.0517578125e-05,5.3263273772e-12,4.4842584694e-06,-2.3307957449e-04,1.3894797858e-25,9.1909813094e-13,8.8817841970e-16,1.2617268158e-10,3.0517578125e-05,-3.6343601917e-04,1.2084635420e-10,-1.3035644468e-04
3.6000000000e+01,-2.9768115260e-15,6.5512347049e-11,1.3819973387e-05,3.8046849172e-13,8.9383746837e-07,-2.6254215900e-04,1.0833745369e-25,9.3911203290e-13,-1.3877787808e-14,1.1073851254e-10,3.3703398787e-05,-4.4662068425e-04,1.1035804405e-10,-1.8407852525e-04
3.7000000000e+01,-3.0517578253e-07,6.9100559018e-11,3.0517578125e-05,5.5677757914e-13,1.2267336945e-06,-2.9367316080e-04,2.5146160306e-26,7.1448402750e-13,5.3290705182e-15,1.1427560915e-10,3.0517578125e-05,-4.3951763094e-04,1.1371883157e-10,-1.4584447014e-04
3.8000000000e+01,-1.5540806624e-15,6.5512347067e-11,1.3819973511e-05,7.6152359692e-12,5.4570310686e-06,-3.2655617346e-04,1.0420249878e-26,5.8764104693e-13,1.1324274851e-14,9.5336574486e-11,3.0517578125e-05,-4.7489120111e-04,8.7721338517e-11,-1.4833502765e-04
3.9000000000e+01,-3.0517577786e-07,6.9100558979e-11,3.0517578125e-05,1.5358349470e-12,2.3286667651e-06,-3.7258291510e-04,1.0355030669e-26,5.0082160641e-13,1.3322676296e-15,1.0863027068e-10,3.0517578125e-05,-5.8075898401e-04,1.0709443573e-10,-2.0817606891e-04
4.0000000000e+01,6.3450218929e-15,9.4414934111e-11,1.3819973449e-05,3.8517035763e-13,8.6159586365e-07,-4.2259028079e-04,1.2734745211e-26,6.3082872259e-13,2.6645352591e-15,1.1188294469e-10,1.6697605315e-05,-5.6062525634e-04,1.1149777434e-10,-1.3803497555e-04
4.1000000000e+01,-3.0517578000e-07,6.9100558968e-11,3.0517578125e-05,1.1886287925e-11,6.8386439810e-06,-4.8066349704e-04,4.0737127167e-26,7.5356387796e-13,-2.4424906542e-15,1.1333839542e-10,3.0517578125e-05,-6.8397152718e-04,1.0145210750e-10,-2.0330803014e-04
4.2000000000e+01,-1.0053480807e-16,6.5512347085e-11,1.3819973364e-05,3.5093307945e-12,3.6534938765e-06,-5.6244532362e-04,1.4558116780e-26,7.4665273964e-13,6.6613381478e-16,1.1702092376e-10,3.3853030224e-05,-7.7592773623e-04,1.1351159296e-10,-2.1348241261e-04
4.3000000000e+01,-3.0517578098e-07,6.9100558962e-11,3.0517578125e-05,1.5904444131e-12,2.3734687160e-06,-6.6060068985e-04,1.0999732169e-26,4.4320103143e-13,1.7763568394e-15,1.1642544398e-10,3.0517578125e-05,-9.1845742448e-04,1.1483499957e-10,-2.5785673463e-04
4.4000000000e+01,6.5392961499e-16,6.5512347015e-11,1.3819973687e-05,2.5497775282e-11,1.0029488821e-05,-7.8678278367e-04,1.1839387804e-26,6.9899641630e-13,-7.5495165675e-15,9.0466731753e-11,2.0146571758e-05,-1.0203705042e-03,6.4968956471e-11,-2.3358772052e-04
4.5000000000e+01,-1.5258789073e-06,1.0017909711e-10,3.0517578125e-05,2.2233781689e-13,8.4824531821e-07,-9.7817059670e-04,1.9872695826e-26,7.5528472365e-13,-9.9920072216e-16,1.7481023735e-10,3.1877149876e-05,-1.2344846660e-03,1.7458789954e-10,-2.5631406935e-04
4.6000000000e+01,1.2590584804e-15,6.5512347073e-11,1.3819973574e-05,4.3509312745e-11,1.3185763978e-05,-1.2713375436e-03,1.8858101489e-26,6.3204996792e-13,4.4408920985e-16,1.8933103392e-10,3.0517578125e-05,-1.5839511032e-03,1.4582172118e-10,-3.1261355957e-04
4.7000000000e+01,-3.0517578096e-07,6.9100558921e-11,3.0517578125e-05,6.7654595452e-11,1.6378341917e-05,-1.7890749404e-03,1.1884458121e-26,7.6749717692e-13,-2.7755575616e-15,1.6488937731e-10,3.0517578125e-05,-2.0690667314e-03,9.7234781858e-11,-2.7999179102e-04
4.8000000000e+01,-1.3543568258e-16,6.5512347048e-11,1.3819973474e-05,6.2922064206e-06,4.9985432307e-03,-5.6784612920e-03,1.2366094828e-26,6.2339022833e-13,5.1070259133e-15,6.2913927340e-06,4.9847362408e-03,-5.7797089082e-03,-8.1368659285e-10,-1.0124761618e-04
4.9000000000e+01,-3.0517578341e-07,6.9100558990e-11,3.0517578125e-05,9.8083125238e-03,1.9977623840e-01,-1.0487199459e-01,2.6362957891e-26,8.5131901528e-13,-5.2180482157e-15,9.8081034188e-03,1.9976290802e-01,-1.0487070219e-01,-2.0910505501e-07,1.2924029715e-06
5.0000000000e+01,4.0226120338e-15,1.5572196859e-26,4.6851043757e-13,5.0000000000e-01,1.0000000000e+00,-1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,-1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,-1.0000000000e+00,-6.6613381478e-16,-9.5479180118e-15
